DFF 1.0									
									
	IG-XL Version		8.30.02_uflx (P402) 03.07.19.12.16						
	Test Program		\\adblntap.adbldesign.analog.com\PTEAMS\00_Projects\13_ADIN1300\03_Debug\prgm\ADIN1300.xlsm						
	Date		43635.6423611111						
	User		vsomasun						
	Computer Name		ADBL-UFLX-070						
	Computer OS		Windows 7 Service Pack 1						
	Computer Speed		~3292 MhzGenuineIntel Intel64 Family 6 Model 45 Stepping 7 (8 Processor(s))						
	Computer Memory		8310344 KB RAM						
	Job		ADIN1200_A0_CHAR						
	Channel Map		ChanMap_pkg32_eng						
	Part								
	Environment								
	Sites		1						
									
									
	Total Execution Time		59.8960540055019						
									
	Flow Step	Line	Total	PreBody	Body	PostBody	TName	TNum	
	VIH_level	42	0.949087181030954	0	0	0			
	VIL_level	46	0.972083319982758	0	0	0			
	VIH_level_INT_N	50	0.535957319145825	0	0	0			
	VIL_level_INT_N	52	0.51075802249001	0	0	0			
	return	54	0.0000285542680197537	0	0	0			
	call	180	0.0000294874126977263	0	0	0		6000	
	MDIO_Timing	5	0.278997838521433	0	0	0			
	Rst_dly_Timing	8	0.266185432906446	0	0	0			
	RGMII_B100_no_dly_Timing	19	4.28269185248417	0	0	0			
	RGMII_B100_dly_Timing	22	4.48412012575071	0	0	0			
	RGMII_B10_no_dly_Timing	25	4.23294832766159	0	0	0			
	RGMII_B10_dly_Timing	28	4.25247502979116	0	0	0			
	MII_B100_Timing	31	4.36690547946464	0	0	0			
	MII_B10_Timing	34	4.21746805763627	0	0	0			
	MII_TXCLK_B100_Timing	37	6.24538156495341	0	0	0			
	RMII_B100_Timing	43	2.70570528574315	0	0	0			
	RMII_B10_Timing	46	3.02395255139256	0	0	0			
	return	49	0.0000319758038282103	0	0	0			
	IDDQ	181	0.123765891087957	0	0	0		7000	
	set-device	187	0.0000273100713167551	0	0	0			
	stop	188	0.000181590213203542	0	0	0			
	PostJob Reset	9998	0.0180908392732254	0	0	0			
